Sort,X2,X3,X4,X5,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
150,811122,1/28/2009,Senator Patrick J. Leahy,Expresses concern that critical features of the land and sea deployment of the Western Hemisphere Travel Initiative have not been met and requests DHS and DOS provide specific certifications prior to the rollout.,,,,,,,,,,
151,808620,1/7/2009,Senator Carl Levin,"|(b)(6>    regarding the humanitarian Parole request, on behalf of his mother,<b!(6)",,,,,,,,,,
152,,,,,,,,,,,,,,
153,808842,1/7/2009,Senator Carl Levin,regarding a request for humanitarian parole filed on behalf of her daughterJ(b)l-6-!,,,,,,,,,,
154,808861,1/7/2009,Senator Carl Levin,(bH6>    Iregarding an 1-601 application that was,,,,,,,,,,
155,,,,filed on behalf of her husband (b)(6),,,,,,,,,,
156,811369,1/29/2009,Senator Carl Levin,Status of 1-601 for her husband|<b)(6),,,,,,,,,,
157,811405,1/30/2009,Senator Carl Levin,Regarding the verification of him not having been deported. He asserts that there is incorrect information in his file.,,,,,,,,,,
158,809744,1/13/2009,Congressman Frank A. LoBiondo,"’h’16-1    is requests information regarding immigration, tax breaks and grants.",,,,,,,,,,
159,811191,1/28/2009,Congressman Frank A. LoBiondo,Status of husbands 1-601. Husband name is,,,,,,,,,,
160,811594,1/30/2009,Congressman Frank A. LoBiondo,Status of 1-130 for her husbandp){0),,,,,,,,,,
161,808794,1/7/2009,Congressman Zoe Lofgren,are now in Mexico with their children are awaiting the status of the 1-601 waiver application filed for her husband.,,,,,,,,,,
162,,,,,,,,,,,,,,
163,811086,1/27/2009,Congressman Richard G. Lugar,Status of 1-600 adn I-600A filed for adoption of girl age 4 from Haiti.,,,,,,,,,,
164,808912,1/9/2009,Congressman Tim Mahoney,Writes on behalf of constituent<b:(6)    kho requests assistance with gaining employment with DHS.,,,,,,,,,,
165,811443,1/30/2009,Congressman Mel Martinez,Requesting assistance for continued employment with USCIS.,,,,,,,,,,
166,811472,1/30/2009,Congressman Mel Martinez,Regarding the termination of contract for TERM employees of USCIS of which she is one.,,,,,,,,,,
167,808886,1/8/2009,Senator John McCain,"(b^6)    (vvho encountered a problem with process for the issuance of her LPR card, the alleged treatment received by officers.",,,,,,,,,,
168,809130,1/12/2009,Senator John McCain,"Re:<b)(6}    who has encountered a problem, (Ability to Pay denials).",,,,,,,,,,
169,810004,1/16/2009,Senator John McCain,Ib!<lb    regarding his brother's f (b)(6)    (immigration to the United States,,,,,,,,,,
170,,,,,,,,,,,,,,
171,811486,1/30/2009,Senator Claire McCaskill,Status of his appeal of refugee application denial.,,,,,,,,,,
172,808941,1/9/2009,Congressman Michael McCaul,"Ofelia Benavides, regarding fa><6>    11-601 application.",,,,,,,,,,
173,809035,1/9/2009,Congressman Michael McCaul,<b><e>    regarding his immigrant visa.,,,,,,,,,,
174,809564,1/9/2009,Congressman Michael McCaul,!bKbt    seeks to know why his 1-485 application has not been approved.,,,,,,,,,,
175,810212,1/16/2009,Congressman Michael McCaul,(bX6)    regarding his asylum case.,,,,,,,,,,
176,810216,1/16/2009,Congressman Michael McCaul,"<bRt,t    (•egarding her husband's immigrant case",,,,,,,,,,
177,808943,1/9/2009,Senator Mitch McConnell,"Senator McConnell and Representative Davis write on behalf of John McGinnis, Chairman of the Greenup-Boyd Riverport Authority regarding CBP zoning.",,,,,,,,,,
178,811418,1/30/2009,Senator Mitch McConnell,Status of 1-601 waiver she filed for her husbanc (b)(6),,,,,,,,,,
179,,,,,,,,,,,,,,
180,811434,1/29/2009,Senator Mitch McConnell,"Writes on behalf of a constituent,<b,(6?    regarding the protection of our Federal networks against cyber attacks.",,,,,,,,,,
181,811392,1/29/2009,Congressman Barbara McGuire,Representative McGuire requests Secretary Napolitano's support regarding the Rail Transportation Project.,,,,,,,,,,
182,810201,1/16/2009,Congressman Mike McIntyre,Rep. McIntyre writes on behalf of constituent regarding his TWIC.,,,,,,,,,,
183,810623,1/16/2009,Congressman Mike McIntyre,Writes on behalf of constituent|(b)(6)    Regarding her work as a Disaster Assistant Employee under several FEMA contracts.,,,,,,,,,,
184,808422,1/5/2009,Congressman Cathy McMorris Rodgers,"lasks for assistance with 3 individuals asking for resettlement in the United States, (b)(6)",,,,,,,,,,
185,808630,1/7/2009,Congressman John L. Mica,"Appeal for,b!(6-'    |status",,,,,,,,,,
186,809169,1/13/2009,Senator Barbara A. Mikulski,"Writes to request DHS and DOE find a fair solution for employers who filed for labor certifications, though they were not processed in a timely manner.",,,,,,,,,,
187,,,,,,,,,,,,,,
188,809254,1/13/2009,Senator Barbara A. Mikulski,<bX6)    petition.,,,,,,,,,,
189,811272,1/23/2009,Senator Barbara A. Mikulski,|filed FOIA request to certificate of non-existence of his grandfather.,,,,,,,,,,
190,811331,1/29/2009,Senator Barbara A. Mikulski,Status of green card petitioned for by husband <bX6),,,,,,,,,,
191,811395,1/29/2009,Congressman Jeff Miller,Rep. Miller writes on behalf of constituent LK6)    Regarding a debt incurred from FLETC.,,,,,,,,,,
