Sort,X2,X3,X4,X5,X6,FROM,DATE,SUBJECT,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES
155,852765,1/8/2010,Senator Richard J. Durbin,(b)(6)    requesting the status of his appeal of denial of his 1-129,,,,,,,,,,,
156,852749,1/8/2010,Congressman Donna F. Edwards,<bt(lb    is requesting the status of I-130 for (bX6)      (b)(6),,,,,,,,,,,
157,853434,1/14/2010,Congressman Donna F. Edwards,2nd request re the status of an 1-730.,,,,,,,,,,,
158,854362,1/25/2010,Congressman Donna F. Edwards,Writes on behalf of a constituentfb)(6}    who was recently terminated as a contractor with I&A.,,,,,,,,,,,
159,854893,1/29/2010,Congressman Donna F. Edwards,Writes on behalf of constituent requesting written statement regarding his suspicions.,,,,,,,,,,,
160,851971,1/4/2010,Congressman Keith Ellison,(b)(6)     Re an 1-130.,,,,,,,,,,,
161,853484,1/14/2010,Congressman Keith Ellison,(b)(6)    is requesting status of 1-30 for ibX6>,,,,,,,,,,,
162,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,
164,853553,1/15/2010,Congressman. Keith Ellison,Status on a I-130 foi<bt<6),,,,,,,,,,,
165,853591,1/15/2010,Congressman Keith Ellison,check of status for    on a I-130,,,,,,,,,,,
166,853612,1/15/2010,Congressman Keith Ellison,Status of an 1-130 for six.,,,,,,,,,,,
167,854613,1/28/2010,Congressman Keith Ellison,Customer would like her Form 1-730 Petition expedited.,,,,,,,,,,,
168,852804,1/9/2010,Congressman John Ensign,(b)(6)    h requesting status of husband 1-601.,,,,,,,,,,,
169,852526,1/7/2010,Senator Michael B. Enzr,<b)(6)    rgarding an 1-601 case.,,,,,,,,,,,
170,,,,,,,,,,,,,,,
171,853749,1/19/2010,Congressman Sam Farr,2nd request on status of an 1-601,,,,,,,,,,,
172,852834,1/9/2010,Congressman Russell D. Feingold,(b)(6>    filed an appeal for 1140,,,,,,,,,,,
173,854551,1/27/2010,Congressman John Fleming,The customer is trying to get his wife brought back to th US.,,,,,,,,,,,
174,852572,1/7/2010,Congressman J. Randy Forbes,"Re: 1(b)(6)    falvary Revival Church, regarding an 1-129.",,,,,,,,,,,
175,852807,1/9/2010,Senator Kirsten E. Gillibrand,(b)(6)    is requesting status of 1-601 for (b)(6>,,,,,,,,,,,
176,852809,1/9/2010,Senator Kirsten E. Gillibrand,(b)(6)    s requesting status of wife (b)(6)    1-601.,,,,,,,,,,,
177,853464,1/14/2010,Senator Kirsten E. Gillibrand,"(b)(6J    filed 1-601 expeditious processing for her husband, (b)(6)",,,,,,,,,,,
178,,,,,,,,,,,,,,,
179,854863,1/29/2010,Senator Kirsten E. Gillibrand,Writes regardng the closure of the Varick Federal Detention Center in New York City an dhow it will severly handicap detainees' ability to retain counsel and will also harm New York's economy.,,,,,,,,,,,
180,852702,1/8/2010,Congressman Robert W. Goodlatte,Status of 1-485.,,,,,,,,,,,
181,852815,1/9/2010,Congressman Bart Gordon,(b)(6>    re 1-601.,,,,,,,,,,,
182,854907,1/29/2010,Congressman Bart Gordon,Customer would like the status of his Form I-129F Petition.,,,,,,,,,,,
183,852802,1/9/2010,Senator Charles E. Grassley,(b)(6>    is requesting status of his 1-601.,,,,,,,,,,,
184,852805,1/9/2010,Senator Charles E. Grassley,(bX6>    is requesting status of his 1-730.,,,,,,,,,,,
185,853087,1/12/2010,Senator Charles E. Grassley,Senator Grassley writes to the Department of State to request information regarding the screening procedures for foreign nationals entering the U.S. and the implementation of Visa Security Units.,,,,,,,,,,,
186,854002,1/22/2010,Senator Charles E. Grassley,Re an 1-601 for (bb6),,,,,,,,,,,
187,,,,,,,,,,,,,,,
188,854306,1/25/2010,Congressman Alan Grayson,(b)(6)    tiled N-400,,,,,,,,,,,
189,854725,1/28/2010,Congressman Alan Grayson,Writes on behalf of constituent(b)(6!    (because she is questioned when she tries to travel.,,,,,,,,,,,
190,854891,1/29/2010,Congressman A1 Green,Requests an extension of Temporary Protected Status to Haitian nationals currently residing in the U.S.,,,,,,,,,,,
191,854426,1/26/2010,Congressman Gene Green,"Requests assistance in granting a waiver for the Port Security Grant awarded to Harris County, Texas since they will not meet the completion deadline for their project. Folder 106327 is with the Grant Preparedness Directorate of FEMA for handling.",,,,,,,,,,,
192,852817,1/9/2010,Congressman Judd Gregg,"b),6)    fs requesting status of humanitarian parole.",,,,,,,,,,,
193,853183,1/13/2010,Congressman Judd Gregg,Re 1-485 peding deportation case for 04(6),,,,,,,,,,,
194,,,,"her son,(bX6)",,,,,,,,,,,
195,854897,1/29/2010,Congressman Judd Gregg,Customer is requesting assistance with a refugee petitions filed on behalf of his daughters.,,,,,,,,,,,
196,852796,1/8/2010,Congressman Raul M. Grijalva,tfatus of an 1-601 waiver.,,,,,,,,,,,
197,,,,,,,,,,,,,,,
198,852827,1/9/2010,Congressman Luis V. Gutierrez,(b)(0)    is requesting reconsideration of 1-360.,,,,,,,,,,,
