comid,UltOrg,Affiliate,PACShort
C00079483,Texas Utilities Co,Texas Utilities Co,Texas Utilities Electric Co/Tesco Div
C00079681,National Propane Gas Assn,"NA",National Propane Gas Assn
C00079723,Texas Utilities Co,Texas Utilities Co,Texas Utilities Electric Co/DP&L Div
C00079756,El Paso Electric,"NA",El Paso Electric
C00081075,American Independent Refiners Assn,"NA",American Independent Refiners Assn
C00081273,Berkshire Hathaway; Midwest Energy Co; Midwest Resources Inc; MidAmerican Energy,Berkshire Hathaway; NA; Midwest Resources Inc; MidAmerican Energy,MidAmerican Energy; Midwest Energy Co; Midwest Resources Inc
C00081455,Centerpoint Energy; RRI Energy; NRG Energy; Houston Industries,Centerpoint Energy; NA; NRG Energy; Houston Industries,Reliant Energy; RRI Energy; GenOn Energy; Houston Industries
C00081471,Washington Natural Gas; Puget Sound Energy,NA; Puget Sound Energy,Washington Natural Gas
C00081547,DTE Energy; Detroit Edison,NA; DTE Energy,DTE Energy; Detroit Edison
C00082008,Portland General Electric; Enron Corp,NA; Enron Corp,Portland General Electric
C00082248,Central & South West Corp; American Electric Power,Central & South West Corp; American Electric Power,Central Power & Light
C00082313,Dallas Energy,"NA",Dallas Energy
C00082420,American Electric Power; Central & South West Corp,American Electric Power; Central & South West Corp,West Texas Utilities
C00082800,PacifiCorp; Berkshire Hathaway; Pacificorp,NA; Berkshire Hathaway; Pacificorp; PacifiCorp,PacifiCorp; Pacific Power & Light
C00082818,Centerpoint Energy; Arkla Inc; Entex; NorAm Energy; Houston Industries,Centerpoint Energy; Arkla Inc; Entex; NorAm Energy; Houston Industries,Reliant Energy Entex; Arkla Inc; Entex
C00083089,Central & South West Corp; American Electric Power,Central & South West Corp; American Electric Power,Central & South West Services
C00083337,National Rural Electric Cooperative Assn,National Rural Electric Cooperative Assn,Louisiana ACRE
C00083535,Duke Energy; Duke Power,Duke Energy; NA,Duke Energy; Duke Power
C00083758,National Fuel Gas Corp,"NA",National Fuel Gas Corp
C00083808,Michigan Petroleum Assn,"NA",Michigan Petroleum Assn
C00083832,IDACORP Inc; Idacorp Inc,"NA",Idaho Power
C00083857,Occidental Petroleum,NA; Occidental Petroleum,Occidental Petroleum
C00084988,American Electric Power; Central & South West Corp,American Electric Power; Central & South West Corp,Southwestern Electric Power
C00087965,Mitchell Energy & Development,"NA",Mitchell Energy & Development
C00088377,Southern Union,"NA",Southern Union
C00088906,Interstate Power; Alliant Inc,NA; Alliant Inc,Interstate Power
C00091702,Coastal Corp; El Paso Corp,NA; El Paso Corp,Coastal Corp; El Paso Corp
C00091884,Progress Energy; Carolina Power & Light,Progress Energy; NA,Progress Energy; Carolina Power & Light
C00092254,Transco Energy; Williams Companies,Transco Energy; Williams Companies,Transco Energy
C00092833,Northern Indiana Public Service Co,"NA",Northern Indiana Public Service Co
C00093948,El Paso Energy; El Paso Corp; Burlington Northern; El Paso Natural Gas,NA; El Paso Corp; Burlington Northern,El Paso Energy; El Paso Corp; El Paso Natural Gas
C00094276,Maxus Energy Corp,"NA",Maxus Energy Corp
C00095406,Exxon Mobil; Mobil Oil,Exxon Mobil; NA,Exxon Mobil; Mobil Oil
C00095869,Edison Electric Institute,"NA",Edison Electric Institute
C00095984,Quaker State Oil Refining Corp,"NA",Quaker State Oil Refining Corp
C00096743,Petroleum Marketers Assn,Petroleum Marketers Assn,Illinois Petroleum Marketers Assn
C00096842,American Electric Power,American Electric Power,American Electric Power
C00096859,Public Service Co of Indiana; Cinergy Corp,NA; Cinergy Corp,Public Service Co of Indiana; PSI Energy
C00097758,Questar Corp; Dominion Resources,NA; Dominion Resources,Questar Corp
C00097865,National Assn of Truck Stop Operators,"NA",National Assn of Truck Stop Operators
C00099366,Energy East Corp; Connecticut Natural Gas,Energy East Corp; NA,Connecticut Natural Gas
C00099937,Cooper Industries,"NA",Cooper Industries
C00099945,Wisconsin Energy Corp; WEC Energy Group,"NA",Wisconsin Electric Power; We Energies
