ID,agency,DATE,FROM,first_name,last_name,bioname,party_code,chamber,congress,SUBJECT,TYPE,NOTES,ERROR
10170,HUD_HQ,2009-04-28,Arlen Specter,Arlen,SPECTER,"SPECTER, Arlen",100,Senate,111,NA,NA,NA,NA
10170,HUD_HQ,2009-04-28,Arlen Specter,Arlen,SPECTER,"SPECTER, Arlen",200,Senate,111,NA,NA,NA,NA
10171,HUD_HQ,2009-04-28,Arlen Specter,Arlen,SPECTER,"SPECTER, Arlen",100,Senate,111,NA,NA,NA,NA
10171,HUD_HQ,2009-04-28,Arlen Specter,Arlen,SPECTER,"SPECTER, Arlen",200,Senate,111,NA,NA,NA,NA
76756,DHHS_CMS,2019-04-11,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,Massive Medicare call scam preying on vulnerable elderly people and Medicare recipients.,1,NA,NA
76756,DHHS_CMS,2019-04-11,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,Massive Medicare call scam preying on vulnerable elderly people and Medicare recipients.,1,NA,NA
76757,DHHS_CMS,2019-04-11,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,Massive Medicare call scam preying on vulnerable elderly people and Medicare recipients.,1,NA,NA
76757,DHHS_CMS,2019-04-11,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,Massive Medicare call scam preying on vulnerable elderly people and Medicare recipients.,1,NA,NA
77003,DHHS_CMS,2019-07-30,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,[Recommendation] CC: Rep. Van Drew +1; Dietary Guidelines recommendation. Oral Health Preventative Practices Letter,5,NA,NA
77003,DHHS_CMS,2019-07-30,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,[Recommendation] CC: Rep. Van Drew +1; Dietary Guidelines recommendation. Oral Health Preventative Practices Letter,5,NA,NA
77004,DHHS_CMS,2019-07-30,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",200,House,116,[Recommendation] CC: Rep. Van Drew +1; Dietary Guidelines recommendation. Oral Health Preventative Practices Letter,5,NA,NA
77004,DHHS_CMS,2019-07-30,"Van Drew, Jeff",Jefferson,VAN DREW,"VAN DREW, Jefferson",100,House,116,[Recommendation] CC: Rep. Van Drew +1; Dietary Guidelines recommendation. Oral Health Preventative Practices Letter,5,NA,NA
5013,DOE_FERC,2002-05-24, James Jeffords,James,JEFFORDS,"JEFFORDS, James Merrill",328,Senate,107,Comments of US Senator Christopher Dodd et al concerning the New York Power Authority's re-licensing application for the St Lawrence-FDR Project that does not include Article 28 of the current Project License under P-2216 et al.,2,NA,NA
5013,DOE_FERC,2002-05-24, James Jeffords,James,JEFFORDS,"JEFFORDS, James Merrill",200,Senate,107,Comments of US Senator Christopher Dodd et al concerning the New York Power Authority's re-licensing application for the St Lawrence-FDR Project that does not include Article 28 of the current Project License under P-2216 et al.,2,NA,NA
5014,DOE_FERC,2002-05-24, James Jeffords,James,JEFFORDS,"JEFFORDS, James Merrill",328,Senate,107,Comments of US Senator Christopher Dodd et al concerning the New York Power Authority's re-licensing application for the St Lawrence-FDR Project that does not include Article 28 of the current Project License under P-2216 et al.,2,NA,NA
