first_name,last_name,LetterID,ID,agency,DATE,FROM,bioname,SUBJECT,TYPE,NOTES,ERROR
NA,NA,NA,243,DOJ_CIV,2020-01-23,GORDON H SMITH,,MID-COLUMBIA MEDICAL CTR/CMMS SETTLEMENT,NA,NA,NA
NA,NA,NA,768,DOJ_CIV,2020-01-24,TOM COBURN,,CASE WITH HHS IMPACTING CONST TUENT'S ABILITY TO GET MEDICARE/MEDICAID,NA,NA,NA
NA,NA,NA,311,DOJ_CIV,2020-01-25,LAMAR SMITH,,DOJ SETTLEMENT WITH COUNTRYWIDE,NA,NA,NA
NA,NA,NA,525,DOJ_CIV,2020-01-25,KELLY AYOTTE,,COMPLAINT ABOUT CAR THEY PURCHASED,NA,NA,NA
Ron,JOHNSON,NA,1051,DOJ_CIV,2020-01-25,RON JOHNSON,"JOHNSON, Ron",UNFAIR TRIAL UNHAPPY W TH LAWYER,NA,NA,NA
Sheldon,WHITEHOUSE,NA,1005,DOJ_CIV,2020-01-26,SHELDON WHITEHOUSE,"WHITEHOUSE, Sheldon",EXPRESSING CONCERNS ABOUT ALLEGED MISINFORMATION CAMPAIGN FUELED BY CONSERVATIVE THINK TANKS WHICH IS WELL DOCUMENTED THAT SEVERAL THINK TANKS STUDIES HAVE BEEN FUNDED BY EXXON.,NA,NA,NA
NA,NA,NA,1048,DOJ_CIV,2020-01-26,LAMAR SMITH,,WANTS DOJ TO CHALLENGE COUNTY IMM. LAW,NA,NA,NA
Kathy,CASTOR,NA,773,DOJ_CIV,2020-01-27,KATHY CASTOR,"CASTOR, Kathy","ADMISSION OF(b) (6) 
 (UNDOCUMENTED IMMIGRANT) TO FLOR DA STATE
 BAR",1,NA,NA
NA,NA,NA,1050,DOJ_CIV,2020-01-27,DANIEL INOUYE,,ASSISTANCE WITH FORECLOSURE,NA,NA,NA
Bennie,THOMPSON,NA,76546,DHHS_CMS,2020-01-28,"Thompson, Bennie G.","THOMPSON, Bennie",requesting reduction in payment or temporary stay for 1 year,1,NA,NA
NA,NA,NA,39,DOJ_CIV,2020-01-28,MARK BEGICH,,INDIAN HEALTH SERV CE CONTRACT CLAIMS WH 1100038,1,NA,NA
NA,NA,NA,635,DOJ_CIV,2020-01-28,BILL NELSON,,RECA,NA,NA,NA
Maria,CANTWELL,NA,216,DOJ_CIV,2020-01-29,MARIA CANTWELL,"CANTWELL, Maria E.",ILLEGAL DRUG RAIDS & HIPAA VIOLATIONS,5,NA,NA
Maria,CANTWELL,NA,275,DOJ_CIV,2020-01-29,MARIA CANTWELL,"CANTWELL, Maria E.",ILLEGAL DRUG RAIDS & HIPAA VIOLATIONS,5,NA,NA
NA,NA,NA,634,DOJ_CIV,2020-01-29,SAXBY CHAMBLISS,,RECA,NA,NA,NA
Mark,WARNER,NA,780,DOJ_CIV,2020-01-29,MARK WARNER,"WARNER, Mark",TRIBAL-OWNED ONLINE LENDERS,NA,NA,NA
NA,NA,NA,840,DOJ_CIV,2020-01-29,ORIN HATCH,,SEN FINANCE CMTE REQ INVESTIGATIONS DOCS RE INVESTIG OF IRS TARGETING OF TAX EXEMPT ORGS,5,NA,NA
NA,NA,NA,25,DOJ_CIV,2020-01-30,JOHN/JEFF CORNYN/SESSIONS,,COOK COUNTY IMMIGRATION LAW,NA,NA,NA
NA,NA,NA,26,DOJ_CIV,2020-01-30,DAVID/MIKE VITTER/JOHANNS,,COOK COUNTY IMMIGRATION LAW,NA,NA,NA
NA,NA,NA,286,DOJ_CIV,2020-01-30,JIM/JON DEMINT/KYL,,COOK COUNTY IMMIGRATION LAW,NA,NA,NA
