thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,elected,female,votepct,dwnom1,deleg_size,speaker,subchr,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,power,budget,chair,majority,maj_leader,min_leader,les,seniority
"Numeric counter for order in THOMAS data, starting with 93rd Congress","Legislator name, as given in THOMAS","ICPSR number, according to Poole and Rosenthal",Congress number,Year at start of Congress,Two-letter state code,Congressional district number,1 = Democrat,Year first elected to House,1 = female,Percent vote received to enter this Congress,First-dimension DW-NOMINATE score,Size of House delegation from member's state,1= Speaker,1 = Subcommittee Chair,Number of substantive and significant bills sponsored,Number of substantive and significant bills with action in committee,Number of substantive and significant bills with action beyond committee,Number of substantive and significant bills passed House,Number of substantive and significant bills became law,Number of substantive bills sponsored,Number of substantive bills with action in committee,Number of substantive bills with action beyond committee,Number of substantive bills passed House,Number of substantive bills became law,Number of commemorative bills sponsored,Number of commemorative bills with action in committee,Number of commemorative bills with action beyond committee,Number of commemorative bills passed House,Number of commemorative bills became law,"1 = Member of Appropriation, Rules, or Ways and Means",1 = Member of Budget,1 = Committee Chair,1 = majority party member,1 = Majority party leadership,1 = Minority party leadership,Legislative Effectiveness Score (1-5-10),"Seniority, number of terms served counting current"
8091,"Chandler, Ben",20326,111,2009,KY,6,1,2004,0,65,-0.187999994,6,0,0,0,0,0,0,0,4,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,0.475681663,3
8092,"Childers, Travis",20761,111,2009,MS,1,1,2008,0,54,0.013,4,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.111645214,1
8093,"Christensen, Donna",,111,2009,VI,,1,1996,1,100,,1,0,0,0,0,0,0,0,17,1,2,2,1,0,0,0,0,0,0,0,0,1,0,0,1.205605268,7
8094,"Chu, Judy",20955,111,2009,CA,32,1,2009,1,62,-0.501999974,53,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.111645214,1
8095,"Clarke, Yvette",20733,111,2009,NY,11,1,2006,1,93,-0.586000025,29,0,1,0,0,0,0,0,12,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0.747226,2
8096,"Clay, Wm.",20147,111,2009,MO,1,1,2000,0,87,-0.518999994,9,0,1,0,0,0,0,0,13,5,6,4,0,2,1,2,2,2,0,0,0,1,0,0,2.173135757,5
8097,"Cleaver, Emanuel",20517,111,2009,MO,5,1,2004,0,64,-0.432000011,9,0,0,0,0,0,0,0,7,1,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0.677447736,3
8098,"Clyburn, James",39301,111,2009,SC,6,1,1992,0,67,-0.414999992,6,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0.389423549,9
8099,"Coble, Howard",15092,111,2009,NC,6,0,1984,0,67,0.762000024,13,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041866954,13
8100,"Coffman, Mike",20906,111,2009,CO,6,0,2008,0,61,0.765999973,7,0,0,0,0,0,0,0,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.459201813,1
8101,"Cohen, Steve",20748,111,2009,TN,9,1,2006,0,88,-0.411000013,9,0,1,0,0,0,0,0,35,5,4,4,1,1,0,0,0,0,0,0,0,1,0,0,2.385421515,2
8102,"Cole, Tom",20344,111,2009,OK,4,0,2002,0,66,0.5,5,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.254911572,4
8103,"Conaway, K.",20531,111,2009,TX,11,0,2004,0,88,0.709999979,32,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.100480698,3
8104,"Connolly, Gerald",20952,111,2009,VA,11,1,2008,0,55,-0.270000011,11,0,0,0,0,0,0,0,25,2,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0.811802924,1
8105,"Conyers, John",10713,111,2009,MI,14,1,1964,0,92,-0.614000022,15,0,0,2,1,2,1,0,44,15,12,7,4,2,0,0,0,0,0,0,1,1,0,0,7.012754917,23
8106,"Cooper, Jim",15019,111,2009,TN,5,1,2002,0,66,-0.224999994,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.069778264,4
8107,"Costa, Jim",20501,111,2009,CA,20,1,2004,0,74,-0.192000002,53,0,1,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.240955904,3
8108,"Costello, Jerry",15453,111,2009,IL,12,1,1988,0,100,-0.391000003,19,0,1,0,0,0,0,0,6,2,3,3,2,0,0,0,0,0,0,0,0,1,0,0,1.788250804,11
8109,"Courtney, Joe",20706,111,2009,CT,2,1,2006,0,66,-0.344999999,5,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.18142347,2
8110,"Crenshaw, Ander",20111,111,2009,FL,4,0,2000,0,65,0.51700002,25,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0.163978308,5
8111,"Critz, Mark",20960,111,2009,PA,12,1,2010,0,53,-0.277999997,19,0,0,0,0,0,0,0,4,0,0,0,0,2,2,2,2,2,0,0,0,1,0,0,0.355867922,1
8112,"Crowley, Joseph",29925,111,2009,NY,7,1,1998,0,85,-0.405000001,29,0,0,0,0,0,0,0,22,0,1,1,1,4,1,2,2,1,1,0,0,1,1,0,1.132663369,6
8113,"Cuellar, Henry",20533,111,2009,TX,28,1,2004,0,69,-0.192000002,32,0,1,0,0,0,0,0,13,3,2,2,2,3,2,2,2,1,0,0,0,1,0,0,1.994210005,3
8114,"Culberson, John",20139,111,2009,TX,7,0,2000,0,56,0.600000024,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.013955652,5
8115,"Cummings, Elijah",29587,111,2009,MD,7,1,1996,0,80,-0.421000004,8,0,1,0,0,0,0,0,14,4,4,4,0,1,1,1,1,1,0,0,0,1,0,0,1.735628247,7
8116,"Dahlkemper, Kathleen",20945,111,2009,PA,3,1,2008,1,51,-0.179000005,19,0,1,0,0,0,0,0,17,2,3,3,1,0,0,0,0,0,0,0,0,1,0,0,1.55316186,1
8117,"Davis, Artur",20302,111,2009,AL,7,1,2002,0,99,-0.238000005,7,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.195379123,4
8118,"Davis, Danny",29717,111,2009,IL,7,1,1996,0,85,-0.48300001,19,0,0,0,0,0,0,0,19,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.267948508,7
8119,"Davis, Geoff",20511,111,2009,KY,4,0,2004,0,63,0.538999975,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.027911304,3
8120,"Davis, Lincoln",20350,111,2009,TN,4,1,2002,0,59,-0.177000001,9,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.069778264,4
8121,"Davis, Susan",20108,111,2009,CA,53,1,2000,1,68,-0.31099999,53,0,1,0,0,0,0,0,23,4,4,2,0,1,0,0,0,0,0,0,0,1,0,0,1.458750844,5
8122,"DeFazio, Peter",15410,111,2009,OR,4,1,1986,0,82,-0.533999979,5,0,1,0,0,0,0,0,24,5,5,3,0,0,0,0,0,0,0,0,0,1,0,0,1.817471981,12
8123,"DeGette, Diana",29710,111,2009,CO,1,1,1996,1,72,-0.407999992,7,0,0,0,0,0,0,0,20,4,3,3,0,1,0,0,0,0,0,0,0,1,1,0,1.439929008,7
8124,"DeLauro, Rosa",29109,111,2009,CT,3,1,1990,1,77,-0.439999998,5,0,1,2,1,2,2,1,26,3,2,2,1,0,0,0,0,0,1,0,0,1,1,0,3.554457188,10
8125,"Deal, Nathan",99342,111,2009,GA,9,0,1992,0,76,0.847000003,13,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139556527,9
