X1,ID,DATE,filed_date,docket,SUBJECT,file_name,url,link_text,FROM,TYPE,CERTAINTY,ALT_TYPE,POLICY_EVENT,EVENT_NAME,EVENT_DATE,NOTES,ERROR
6220,19910619-0379(partial),1991-05-20,1991-05-30,NONE-000,"Sen WS Cohen submits constituent (P & L Graham) ltr expressing frustration over decision of ME Public Utils Commission re small pwr production facil in Brooks,ME.Availability: Public",NA,NA,MicroFilm,,,,,,,,,
6224,19910621-0258(partial),1991-05-20,1991-05-24,RP91-103-000RP91-29-000,Comments of US Rep T Bevill re devastating impact & competi- tive hardship as result of FERC recent action dealing w/ allocation of take-or-pay costs under RP91-29 et al.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6219,19910625-0086,1991-05-15,1991-05-31,P-4062-000,Comments of US Rep JP Hammerschmidt re Price Lateral Com- pressor Station of Ozark Gas P/L under P-4062.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6225,19910621-0271(partial),1991-05-15,1991-05-23,RP91-103-000RP91-29-000,Comments of US Rep B Cramer re devastating hardship which many constituents will face as result of FERC allocation of take-or-pay cost under RP91-29.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6241,19910617-0080(partial),1991-05-14,1991-05-17,P-10551-000,Comments of Rep F Horton re City of Oswego's lic appl for High Dam Hydro Rehab Proj 10551.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6223,19910621-0219(partial),1991-05-13,1991-05-29,P-8263-000,Comments of US Rep S Gejdenson re Summit Hydropower's pro- posed Falls Mill Dam Hydropower Proj & impact on Yantic Falls area under P-8263.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6246,19910619-0377(partial),1991-05-11,1991-05-14,NONE-000,"Oversight request by House of Rep,JD Dingell re H.R. 1301, Natl Energy Strategy Act etc.Availability: Public",NA,NA,MicroFilm,,,,,,,,,
6228,19910523-0019,1991-05-09,1991-05-21,CP90-316-000CP90-317-000,Comments of Sen AM D'Amato re Empire State Gas P/L proposal under CP90-316 et al.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6244,19910606-0186(partial),1991-05-09,1991-05-14,CP90-316-000CP90-317-000,Comments of Sen AM D'Amato re Empire State P/L proposal filed in CP90-316 et al.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6242,19910528-0257(partial),1991-05-08,1991-05-14,CP90-316-000,Sen AM D'Amato submits comments of S Baer re proposed route of Empire P/L Proj under CP90-316.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6243,19910528-0258(partial),1991-05-08,1991-05-14,CP90-316-000,Sen AM D'Amato submits comments of PA Boies re proposed route of Empire P/L Proj under CP90-316.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6207,19910624-0194,1991-05-07,1991-05-14,CP91-967-000,Comments of Sen K Conrad re Northern Border P/L Co expansion proposal under CP91-967.Availability: Public,19910624-0194-10842293.tif; NA,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10842293; NA,Image; MicroFilm,,,,,,,,,
6245,19910614-0136(partial),1991-05-07,1991-05-14,CP91-967-000,Comment by Sen Conrad(ND)urging prompt FERC approval of Northern Border P/L appl in Docket CP91-967.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6206,19910624-0201,1991-05-06,1991-05-29,P-4632-000P-8185-000,Rep EJ Patterson submits ltr from Clifton Power Corp & Bluestone Energy Design re recent decisions by FERC under P-4632 et al.Availability: Public,19910624-0201-10842208.tif; NA,https://elibrary.ferc.gov/idmws/common/opennat.asp?fileID=10842208; NA,Image; MicroFilm,,,,,,,,,
6247,19910605-0239(partial),1991-05-03,1991-05-13,P-8010-000,Rep JT Doolittle submits ltr of complaint from RE Akin re operation of Akin-Cola Hydroelec Proj-8010.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
6249,19910617-0251(partial),1991-05-03,1991-05-10,NONE-000,Rep JD Dingell inquires about FERC tentative decision to begin comprehensive review of ex parte rules thru use of negotiated rulemaking process.Availability: Public,NA,NA,MicroFilm,,,,,,,,,
